Country,Continent,Total_Deaths,CPI
Afghanistan,Asia,24990,73.46450349
Albania,Europe,803,50.89869934
Algeria,Africa,11774,59.05538813
American Samoa,Oceania,130,56.18894738
Angola,Africa,6190,79.95974084
Anguilla,Americas,9,53.72319093
Antigua and Barbuda,Americas,13,52.380466
Argentina,Americas,12035,62.04463241
Armenia,Asia,2895,47.54302223
Australia,Oceania,2253,60.54662897
Austria,Europe,797,63.44288971
Azerbaijan,Asia,154,62.72300536
Azores Islands,Europe,135,41.60621986
Bahamas (the),Americas,450,62.06282082
Bahrain,Asia,111,25.51591532
Bangladesh,Asia,2993707,57.30529892
Barbados,Americas,62,48.85472852
Belarus,Europe,74,77.64740636
Belgium,Europe,4848,66.14194035
Belize,Americas,1860,49.88368494
Benin,Africa,1561,70.28456616
Bermuda,Americas,4,71.95500655
Bhutan,Asia,304,68.74320742
Bolivia (Plurinational State of),Americas,2269,66.20873618
Bosnia and Herzegovina,Europe,47,85.91632987
Botswana,Africa,698,67.66594945
Brazil,Americas,12947,59.02305037
Bulgaria,Europe,313,72.55618366
Burkina Faso,Africa,17304,68.34648614
Burundi,Africa,1218,77.66282886
Cabo Verde,Africa,85295,42.11497255
Cambodia,Asia,2523,73.99309055
Cameroon,Africa,6117,70.84886427
Canada,Americas,51946,48.76515568
Canary Is,Europe,81,60.17492115
Cayman Islands (the),Americas,2,73.88141244
Central African Republic,Africa,1006,77.38781084
Chad,Africa,10502,71.74326483
Chile,Americas,60522,54.60157689
China,Asia,12521432,67.60421767
Colombia,Americas,34518,57.91577066
Comoros (the),Africa,678,55.1069988
Congo (the Democratic Republic of the),Africa,17804,75.34583444
Congo (the),Africa,4710,77.64269036
Cook Islands (the),Oceania,32,52.36091591
Costa Rica,Americas,2995,57.49346397
Côte d’Ivoire,Africa,925,78.41891843
Croatia,Europe,868,81.27538043
Cuba,Americas,5182,54.98845711
Cyprus,Asia,106,49.44327047
Czech Republic (the),Europe,591,79.78404716
Czechoslovakia,Europe,24,30.68070062
Denmark,Europe,26,64.97166587
Djibouti,Africa,344,67.91959971
Dominica,Americas,2140,57.83763049
Dominican Republic (the),Americas,5852,67.01030631
Ecuador,Americas,15191,55.96764312
Egypt,Africa,12112,58.76382951
El Salvador,Americas,8078,64.42689496
Equatorial Guinea,Africa,15,73.88141244
Eritrea,Africa,3,56.50464564
Estonia,Europe,11,88.13777025
Ethiopia,Africa,416530,64.75348242
Fiji,Oceania,649,58.03681879
France,Europe,28872,63.64849812
French Guiana,Americas,10,67.35575898
French Polynesia,Oceania,31,54.28270257
Gabon,Africa,117,70.45512986
Gambia (the),Africa,420,73.46079483
Georgia,Asia,76,70.80699136
Germany,Europe,9713,75.26256353
Germany Fed Rep,Europe,501,28.7164058
Ghana,Africa,1837,74.48618482
Greece,Europe,2858,49.51247306
Grenada,Americas,45,42.9301643
Guadeloupe,Americas,2053,44.99487757
Guam,Oceania,18,46.64314335
Guatemala,Americas,79914,68.4346955
Guinea,Africa,3956,73.79291622
Guinea-Bissau,Africa,3044,68.59985004
Guyana,Americas,34,76.38802721
Haiti,Americas,250008,69.5663044
Honduras,Americas,28794,67.24210893
Hong Kong,Asia,24575,33.37822413
Hungary,Europe,1211,70.99759204
Iceland,Europe,51,39.94276899
India,Asia,9129797,59.56784644
Indonesia,Asia,242240,63.60732688
Iran (Islamic Republic of),Asia,163324,49.38237039
Iraq,Asia,212,81.37908884
Ireland,Europe,47,66.93152076
Israel,Asia,144,62.94020512
Italy,Europe,140549,52.99060209
Jamaica,Americas,2680,40.77586927
Japan,Asia,239246,48.41011106
Jordan,Asia,648,48.72749408
Kazakhstan,Asia,687,70.11815046
Kenya,Africa,7112,77.27807905
Kiribati,Oceania,20,20.03168788
Korea (the Democratic People's Republic of),Asia,3017,77.8433118
Korea (the Republic of),Asia,9043,53.60945553
Kuwait,Asia,3,80.50291291
Kyrgyzstan,Asia,462,71.14784357
Lao People's Democratic Republic (the),Asia,1603,65.91890945
Latvia,Europe,92,74.5126427
Lebanon,Asia,645,64.40978165
Lesotho,Africa,123,64.21771369
Liberia,Africa,5494,66.97288214
Libya,Africa,320,67.6999034
Lithuania,Europe,104,78.27664189
Luxembourg,Europe,170,71.95500655
Macao,Asia,10,95.87816577
Macedonia (the former Yugoslav Republic of),Europe,68,83.59769563
Madagascar,Africa,5114,68.51927523
Malawi,Africa,3172,77.18300717
Malaysia,Asia,1464,65.92457199
Maldives,Asia,325,62.46064356
Mali,Africa,4082,66.10449609
Marshall Islands (the),Oceania,6,67.35575898
Martinique,Americas,30096,48.66965803
Mauritania,Africa,273,70.74450583
Mauritius,Africa,81,47.88366071
Mexico,Americas,24930,60.52133163
Micronesia (Federated States of),Oceania,77,69.74961016
Moldova (the Republic of),Europe,89,72.46177461
Mongolia,Asia,1564,64.25306259
Montenegro,Europe,1,89.80529293
Montserrat,Americas,43,55.63760029
Morocco,Africa,14766,55.07820206
Mozambique,Africa,107060,70.88384392
Myanmar,Asia,146720,64.59537817
Namibia,Africa,555,77.9627296
Nepal,Asia,24303,65.75854727
Netherlands (the),Europe,4819,70.50419729
Netherlands Antilles,Americas,13,54.04693013
New Caledonia,Oceania,20,25.48536874
New Zealand,Oceania,7429,51.3012943
Nicaragua,Americas,17308,64.17805698
Niger (the),Africa,195721,74.12556226
Nigeria,Africa,28895,74.25044476
Niue,Oceania,2,69.51847965
Northern Mariana Islands (the),Oceania,5,86.05070153
Norway,Europe,89,63.25727366
Oman,Asia,296,72.30388453
Pakistan,Asia,178224,67.16536054
"Palestine, State of",Asia,10,91.65013668
Panama,Americas,494,62.39997427
Papua New Guinea,Oceania,10403,64.7203512
Paraguay,Americas,370,77.42843098
Peru,Americas,96992,54.8282177
Philippines (the),Asia,71706,59.25265133
Poland,Europe,2378,78.57852726
Portugal,Europe,4087,63.64594198
Puerto Rico,Americas,1470,52.94518523
Réunion,Africa,239,51.59792508
Romania,Europe,4938,70.54492666
Russian Federation (the),Europe,61662,71.82010872
Rwanda,Africa,1104,77.33319789
Saint Barthélemy,Americas,4,95.87816577
Saint Kitts and Nevis,Americas,6,56.12491031
Saint Lucia,Americas,44,59.95088287
Saint Martin (French Part),Americas,7,95.87816577
Saint Vincent and the Grenadines,Americas,1716,38.80910877
Samoa,Oceania,490,61.46629303
Sao Tome and Principe,Africa,206,55.9168408
Saudi Arabia,Asia,647,80.94655101
Senegal,Africa,1555,70.92179011
Serbia,Europe,96,89.4781117
Serbia Montenegro,Europe,21,68.42163694
Seychelles,Africa,8,68.33362382
Sierra Leone,Africa,6734,70.68156579
Singapore,Asia,36,67.15801106
Sint Maarten (Dutch part),Americas,4,95.87816577
Slovakia,Europe,203,79.09587575
Slovenia,Europe,301,82.42720781
Solomon Islands,Oceania,803,48.22573331
Somalia,Africa,49975,70.89372633
South Africa,Africa,2286,69.87743019
South Sudan,Africa,502,93.21008147
Soviet Union,Europe,3857096,35.84241396
Spain,Europe,17329,66.12638927
Sri Lanka,Asia,40035,69.07670876
Sudan (the),Africa,163775,72.29875106
Suriname,Americas,5,81.5337423
Swaziland,Africa,709,64.04298769
Sweden,Europe,43,61.46726081
Switzerland,Europe,1391,59.48346273
Syrian Arab Republic,Asia,225,75.18441523
Taiwan (Province of China),Asia,16982,51.45641951
Tajikistan,Asia,2493,73.45354828
"Tanzania, United Republic of",Africa,10463,70.57119302
Thailand,Asia,14611,68.45221695
Timor-Leste,Asia,32,78.26060264
Togo,Africa,1199,75.06515982
Tonga,Oceania,24,44.4848924
Trinidad and Tobago,Americas,47,40.1013304
Tunisia,Africa,994,45.8287682
Turkey,Asia,97007,42.84334243
Turkmenistan,Asia,11,67.35575898
Turks and Caicos Islands (the),Americas,4,84.21522909
Tuvalu,Oceania,6,16.35652475
Uganda,Africa,205039,75.67903215
Ukraine,Europe,1504,76.16862251
United Kingdom of Great Britain and Northern Ireland (the),Europe,8304,65.41392387
United States of America (the),Americas,43305,59.25952553
Uruguay,Americas,42,69.36722436
Uzbekistan,Asia,87,65.33397797
Vanuatu,Oceania,256,56.48033483
Venezuela (Bolivarian Republic of),Americas,31280,59.42970103
Viet Nam,Asia,27183,70.85121614
Virgin Island (British),Americas,9,95.87816577
Virgin Island (U.S.),Americas,17,79.12909332
Wallis and Futuna,Oceania,6,49.68888774
Yemen,Asia,2235,81.71694992
Yemen Arab Rep,Asia,2857,26.08372334
Yemen P Dem Rep,Asia,507,43.11759373
Yugoslavia,Europe,1413,22.16675034
Zambia,Africa,1420,73.24767062
Zimbabwe,Africa,7604,76.95905467